"Id","Name","Description","AlertingPolicy","Priority","FullProtectionSlaTimeMins","IsActive","PolicyName","PolicyDaysToKeep","PolicyDescription","LastBackupRunStatus","LastBackupRunName","LastBackupStartTime","LastBackupEndTime","LastBackupElapsedTime","LastBackupTotalSourceSizeGB","LastBackupTotalLogicalBackupSizeGB","LastCopyRunStatus","LastCopyRunName","LastCopyStartTime","LastCopyEndTime","LastCopyElapsedTime","LastCopyLogicalGBTransferred","LastCopyTotalLogicalSizeGB","TotalLogicalBackupSizeGB","SummaryAverageRuntime","SummaryFastestRunTime","SummarySlowestRunTime","SummaryNumSuccessfulRuns","SummaryTotalLogicalBackupSizeGB"
"1648","NAS_SQLPROD3",,"KFailure","KMedium","120","False",,,,,"imss-ap03t","3/12/2020 11:00:00 PM","3/12/2020 11:52:35 PM","00:52:35","40799.29","40799.29","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"40799.29","00:52:35","00:52:35","00:52:35",,"40799.29"
"1657","SQLPROD4_NAS",,"KFailure","KMedium","120","False",,,,,"imss-ap03t","3/12/2020 11:00:00 PM","3/12/2020 11:52:35 PM","00:52:35","40799.29","40799.29","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"40799.29","00:52:35","00:52:35","00:52:35",,"40799.29"
"3776","NAS_SQLPROD7",,"KFailure","KMedium","120","False",,,,,"imss-ap03t","3/12/2020 11:00:00 PM","3/12/2020 11:52:35 PM","00:52:35","40799.29","40799.29","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"40799.29","00:52:35","00:52:35","00:52:35",,"40799.29"
"3803","NAS_SQL6",,"KFailure","KMedium","120","False",,,,,"imss-ap03t","3/12/2020 11:00:00 PM","3/12/2020 11:52:35 PM","00:52:35","40799.29","40799.29","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"40799.29","00:52:35","00:52:35","00:52:35",,"40799.29"
"3825","SQLDBPRODBKUP1",,"KFailure","KMedium","120","False",,,,,"imss-ap03t","3/12/2020 11:00:00 PM","3/12/2020 11:52:35 PM","00:52:35","40799.29","40799.29","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"40799.29","00:52:35","00:52:35","00:52:35",,"40799.29"
"5844","NAS_PROD_FSDC02_ADMIN",,"KFailure","KMedium","120",,"Bronze","45","This is the Bronze Policy",,"imss-ap03t","3/12/2020 11:00:00 PM","3/12/2020 11:52:35 PM","00:52:35","40799.29","40799.29","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"40799.29","00:52:35","00:52:35","00:52:35",,"40799.29"
"5849","NAS_PROD_FSDC02E",,"KFailure","KMedium","120",,"Bronze","45","This is the Bronze Policy",,"imss-ap03t","3/12/2020 11:00:00 PM","3/12/2020 11:52:35 PM","00:52:35","40799.29","40799.29","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"40799.29","00:52:35","00:52:35","00:52:35",,"40799.29"
"7263","dd_nas_sql_prod12",,"KFailure","KMedium","120",,"dd_share_prod","45",,,"imss-ap03t","3/12/2020 11:00:00 PM","3/12/2020 11:52:35 PM","00:52:35","40799.29","40799.29","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"40799.29","00:52:35","00:52:35","00:52:35",,"40799.29"
"8788","dd_nas_sql_prod2",,"KFailure","KMedium","120",,"dd_share_prod","45",,,"imss-ap03t","3/12/2020 11:00:00 PM","3/12/2020 11:52:35 PM","00:52:35","40799.29","40799.29","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"40799.29","00:52:35","00:52:35","00:52:35",,"40799.29"
"9706","nas_unity600_ecmfilemounttst",,"KFailure","KMedium","720",,"nas_unity600_test","15",,"KSuccess","\\nas0641-b-01\ecmfilemounttst","3/12/2020 6:00:01 PM","3/12/2020 11:12:57 PM","05:12:56","0","829.16","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"829.16","05:12:55","05:12:55","05:12:55","1","829.16"
"9733","dd_nas_sql_prod3",,"KFailure","KMedium","120",,"dd_share_prod","45",,,"\\nas0641-b-01\ecmfilemounttst","3/12/2020 6:00:01 PM","3/12/2020 11:12:57 PM","05:12:56","0","829.16","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"829.16","05:12:55","05:12:55","05:12:55",,"829.16"
"9735","dd_nas_sql_prod4",,"KFailure","KMedium","120",,"dd_share_prod","45",,,"\\nas0641-b-01\ecmfilemounttst","3/12/2020 6:00:01 PM","3/12/2020 11:12:57 PM","05:12:56","0","829.16","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"829.16","05:12:55","05:12:55","05:12:55",,"829.16"
"22311","dd_nas_sql_prod10",,"KFailure","KMedium","120",,"dd_share_prod","45",,,"\\nas0641-b-01\ecmfilemounttst","3/12/2020 6:00:01 PM","3/12/2020 11:12:57 PM","05:12:56","0","829.16","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"829.16","05:12:55","05:12:55","05:12:55",,"829.16"
"22377","nas_unity600_Clmfilemount",,"KFailure","KMedium","120",,"nas_unity600_prod","45",,"KSuccess","\\nas0641-b-01\Clmfilemount","3/12/2020 7:28:01 PM","3/12/2020 7:35:13 PM","00:07:12","0","0","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"0","00:07:12","00:07:12","00:07:12","1","0"
"22381","nas_unity600_eccx-fs01p",,"KFailure","KMedium","120",,"nas_unity600_prod","45",,"KSuccess","\\nas0641-b-01\eccx-fs01p","3/12/2020 7:31:01 PM","3/12/2020 7:36:56 PM","00:05:55","0","0","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"0","00:05:55","00:05:55","00:05:55","1","0"
"22385","nas_unity600_edal-fs01p",,"KFailure","KMedium","120",,"nas_unity600_prod","45",,"KSuccess","\\nas0641-a-01\edal-fs01p","3/13/2020 4:33:00 AM","3/13/2020 4:33:23 AM","00:00:23","0","111.77","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"111.77","00:00:23","00:00:23","00:00:23","1","111.77"
"22387","nas_unity600_file1billprod_snapshot",,"KFailure","KMedium","420",,"nas_unity600_prod","45",,"KSuccess","\\nas0641-a-01\file1billprod","3/13/2020 4:34:00 AM","3/13/2020 5:14:13 AM","00:40:13","0","5869.34","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"5869.34","00:40:13","00:40:13","00:40:13","1","5869.34"
"22396","nas_unity600_ecfs-fs01azp",,"KFailure","KMedium","120",,"nas_unity600_prod","45",,"KSuccess","\\nas0641-b-01\ecfs-fs01azp","3/13/2020 4:43:01 AM","3/13/2020 4:43:10 AM","00:00:09","0","7.89","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"7.89","00:00:09","00:00:09","00:00:09","1","7.89"
"22398","nas_unity600_ecmfilemount",,"KFailure","KMedium","120",,"nas_unity600_prod","45",,"KSuccess","\\nas0641-b-01\ecmfilemount","3/13/2020 4:44:00 AM","3/13/2020 10:04:51 AM","05:20:51","0","26078.92","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"26078.92","05:20:51","05:20:51","05:20:51","1","26078.92"
"22405","nas_unity600_fs001_snapshot ",,"KFailure","KMedium","420",,"nas_unity600_prod","45",,"KSuccess","\\nas0641-b-01\fs001","3/13/2020 1:00:00 AM","3/13/2020 2:26:37 AM","01:26:37","0","7833.37","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"7833.37","01:26:36","01:26:36","01:26:36","1","7833.37"
"22410","nas_unity600_fs002",,"KFailure","KMedium","720",,"nas_unity600_prod","45",,"KSuccess","\\nas0641-b-01\fs002","3/12/2020 7:00:01 PM","3/12/2020 8:09:52 PM","01:09:51","0","9193.96","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"9193.96","01:09:50","01:09:50","01:09:50","1","9193.96"
"22412","nas_unity600_fs004_snapshot",,"KFailure","KMedium","720",,"nas_unity600_prod","45",,"KSuccess","\\nas0641-b-01\fs004","3/12/2020 6:00:01 PM","3/13/2020 5:33:43 AM","11:33:42","0","10388.91","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"10388.91","11:33:42","11:33:42","11:33:42","1","10388.91"
"24731","dd_nfs_MarkLogic_Test",,"KFailure","KMedium","120",,"dd_share_test","15",,,"\\nas0641-b-01\fs004","3/12/2020 6:00:01 PM","3/13/2020 5:33:43 AM","11:33:42","0","10388.91","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"10388.91","11:33:42","11:33:42","11:33:42",,"10388.91"
"44161","nas_unity600_fs201",,"KFailure","KMedium","420",,"nas_unity600_prod","45",,"KSuccess","\\nas0641-a-01\fs201","3/13/2020 3:43:00 AM","3/13/2020 10:01:39 AM","06:18:39","0","1621.83","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"1621.83","06:18:39","06:18:39","06:18:39","1","1621.83"
"78974","dd_nfs_netezza",,"KFailure","KMedium","120",,"dd_share_prod","45",,,"\\nas0641-a-01\fs201","3/13/2020 3:43:00 AM","3/13/2020 10:01:39 AM","06:18:39","0","1621.83","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"1621.83","06:18:39","06:18:39","06:18:39",,"1621.83"
"78989","dd_nfs_netezza_test",,"KFailure","KMedium","120",,"dd_share_prod","45",,,"\\nas0641-a-01\fs201","3/13/2020 3:43:00 AM","3/13/2020 10:01:39 AM","06:18:39","0","1621.83","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"1621.83","06:18:39","06:18:39","06:18:39",,"1621.83"
