"JobName","ElapsedTime"
"sbte-ap01l_block","00:00:38"
"SQL TEST - 14D RET 9PM TLOG","00:00:25"
"SQL TEST - CLAG01TAG1 JOB1 14D RET TLOG","00:00:07"
"SQL PROD - 45D RET 9PM NOTLOG","00:00:53"
"SQL TEST - 14D RET 5AM NOTLOG","02:50:36"
"SQL PROD - 45D RET 9PM TLOG","00:00:14"
"test_block_file_bkp_10pm","00:53:38"
"SQL TEST - BLOCK BASED 9PM","00:00:31"
"SQL PROD - 45D RET 7PM TLOG","00:00:11"
"SQL TEST - 14D RET 7PM TLOG","00:00:14"
"SQL TEST - CL035TL1 PEGA JOB1 14D RET TLOG","00:00:13"
"prod_block_file_bkp_10pm","00:12:50"
"SQL PROD - CL056PL1 PEGA JOB1 45D RET TLOG","00:00:09"
"SQL TEST - 14D RET 7PM NOTLOG","00:46:21"
"SQL TEST - 14D RET 9PM NOTLOG","00:32:05"
"SQL TEST - 45D RET 9PM NOTLOG","00:06:02"
"SQL TEST - 14D RET 5AM TLOG","00:00:38"
"SQL TEST - 180D RET 8AM TLOG","00:00:27"
"SQL TEST - 45D RET 5AM TLOG","00:00:37"
"prod_file_clust_bkp_10pm","00:43:01"
"test_system_app_bkp_10pm","00:43:01"
"prod_system_app_bkp_10pm","00:43:01"
"test_file_clust_bkp_10pm","00:37:28"
"SQL TEST - FILE BASED 9PM","00:00:09"
"SQL TEST - DB307 JOB1 14D RET TLOG","00:00:10"
"SQL TEST - DB334 JOB1 14D RET TLOG","00:00:09"
"SQL TEST - DB372T JOB1 14D RET TLOG","00:00:07"
"SQL TEST - PROCEDE","00:00:07"
"SQL TEST - DB311 JOB1 14D RET TLOG","00:00:06"
"SQL TEST - PROCEDE COPC-DB01T","00:00:06"
"SQL TEST - PROCEDE DB369T","00:00:06"
"test_block_file_bkp_temp","04:42:58"
